模型名称,参数估计方法,年份,实际人口(亿人),预测人口(亿人),绝对误差
指数增长模型,信赖域反射法(TRF),2016,13.8271,14.945831590564877,1.1187315905648774
指数增长模型,信赖域反射法(TRF),2021,14.126,15.885348601200272,1.7593486012002728
指数增长模型,信赖域反射法(TRF),2022,14.1175,16.080223579118353,1.9627235791183537
指数增长模型,信赖域反射法(TRF),2023,14.0967,16.277489203787223,2.1807892037872225
指数增长模型,Dogbox信赖域法,2016,13.8271,14.94583033412412,1.1187303341241197
指数增长模型,Dogbox信赖域法,2021,14.126,15.885346959566053,1.759346959566054
指数增长模型,Dogbox信赖域法,2022,14.1175,16.080221855351596,1.962721855351596
指数增长模型,Dogbox信赖域法,2023,14.0967,16.27748739611984,2.1807873961198414
指数增长模型,L-BFGS-B拟牛顿法,2016,13.8271,14.945819016342629,1.118719016342629
指数增长模型,L-BFGS-B拟牛顿法,2021,14.126,15.885332200892591,1.759332200892592
指数增长模型,L-BFGS-B拟牛顿法,2022,14.1175,16.08020636304018,1.96270636304018
指数增长模型,L-BFGS-B拟牛顿法,2023,14.0967,16.27747115439164,2.180771154391641
Logistic增长模型,信赖域反射法(TRF),2016,13.8271,13.945222123641742,0.1181221236417418
Logistic增长模型,信赖域反射法(TRF),2021,14.126,14.266803649752944,0.1408036497529448
Logistic增长模型,信赖域反射法(TRF),2022,14.1175,14.325322671171294,0.20782267117129472
Logistic增长模型,信赖域反射法(TRF),2023,14.0967,14.382005664367387,0.285305664367387
Logistic增长模型,Dogbox信赖域法,2016,13.8271,13.945222022253434,0.11812202225343427
Logistic增长模型,Dogbox信赖域法,2021,14.126,14.266803505625932,0.14080350562593225
Logistic增长模型,Dogbox信赖域法,2022,14.1175,14.325322518470132,0.20782251847013278
Logistic增长模型,Dogbox信赖域法,2023,14.0967,14.382005503109918,0.2853055031099174
Logistic增长模型,L-BFGS-B拟牛顿法,2016,13.8271,13.945227956762656,0.11812795676265608
Logistic增长模型,L-BFGS-B拟牛顿法,2021,14.126,14.266811939509912,0.14081193950991278
Logistic增长模型,L-BFGS-B拟牛顿法,2022,14.1175,14.325331453764335,0.2078314537643351
Logistic增长模型,L-BFGS-B拟牛顿法,2023,14.0967,14.382014938768807,0.2853149387688063
